,Ranking,m/z A,Interpretation A,error A,m/z B,Interpretation B,error B
16433,6512,599.30583,b6 (+1),-0.00231197,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
13493,6513,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,603.793117,b12 (+2),-0.00200785
16781,6514,610.345456,No Match,-1000.0,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18448,6515,653.875096,No Match,-1000.0,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795
18472,6516,653.875096,No Match,-1000.0,411.188975,internal 2:5-H2O (+1) / internal 3:7-NH3 (+1),-0.00154935
18530,6517,653.875096,No Match,-1000.0,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839
4949,6518,411.188975,internal 2:5-H2O (+1) / internal 3:7-NH3 (+1),-0.00154935,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
13461,6519,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,524.951635,No Match,-1000.0
15244,6520,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,653.875096,No Match,-1000.0
18471,6521,653.875096,No Match,-1000.0,402.292021,y3 (+1) (C13),-0.00158604
13425,6522,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,402.292021,y3 (+1) (C13),-0.00158604
15418,6523,566.278227,internal 3:8 (+1) (C13),-0.00198556,653.875096,No Match,-1000.0
13445,6524,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,497.264778,internal 4:13-CO (+2) (C13),-0.00147714
18497,6525,653.875096,No Match,-1000.0,503.602581,No Match,-1000.0
18470,6526,653.875096,No Match,-1000.0,401.288604,y3 (+1),-0.00152387
18533,6527,653.875096,No Match,-1000.0,587.840184,y11-H2O (+2),-0.00198726
13424,6528,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,401.288604,y3 (+1),-0.00152387
18534,6529,653.875096,No Match,-1000.0,588.337358,y11-H2O (+2) (C13),0.00251616
18491,6530,653.875096,No Match,-1000.0,497.264778,internal 4:13-CO (+2) (C13),-0.00147714
18469,6531,653.875096,No Match,-1000.0,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428
13403,6532,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,201.087675,internal 2:3 (+1),-0.00069166
976,6533,201.087675,internal 2:3 (+1),-0.00069166,653.875096,No Match,-1000.0
4427,6534,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18506,6535,653.875096,No Match,-1000.0,524.616921,Parent-H2O-H2O (+3) (C13),0.00025363
18535,6536,653.875096,No Match,-1000.0,596.845575,y11 (+2),-0.00209592
13451,6537,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,503.602581,No Match,-1000.0
4282,6538,399.225909,y7-NH3 (+2),0.00351886,653.875096,No Match,-1000.0
18536,6539,653.875096,No Match,-1000.0,597.346987,y11 (+2) (C13),-0.0018305
4253,6540,399.225909,y7-NH3 (+2),0.00351886,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
10865,6541,524.616921,Parent-H2O-H2O (+3) (C13),0.00025363,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
16288,6542,597.848378,No Match,-1000.0,653.875096,No Match,-1000.0
4108,6543,398.232448,No Match,-1000.0,653.875096,No Match,-1000.0
13421,6544,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,398.232448,No Match,-1000.0
1121,6545,201.124072,b2-CO (+1) / internal 4:5-CO (+1) / internal 11:12-CO (+1),-0.00070315,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18538,6546,653.875096,No Match,-1000.0,599.30583,b6 (+1),-0.00231197
13446,6547,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,500.237156,internal 2:6 (+1),-0.00205188
18450,6548,653.875096,No Match,-1000.0,201.124072,b2-CO (+1) / internal 4:5-CO (+1) / internal 11:12-CO (+1),-0.00070315
18539,6549,653.875096,No Match,-1000.0,603.793117,b12 (+2),-0.00200785
3934,6550,397.19662,b8 (+2),-0.00103496,653.875096,No Match,-1000.0
3905,6551,397.19662,b8 (+2),-0.00103496,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18492,6552,653.875096,No Match,-1000.0,500.237156,internal 2:6 (+1),-0.00205188
16810,6553,610.345456,No Match,-1000.0,653.875096,No Match,-1000.0
9676,6554,505.285893,y9 (+2) (C13),-0.00132538,653.875096,No Match,-1000.0
9995,6555,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
3760,6556,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342,653.875096,No Match,-1000.0
18505,6557,653.875096,No Match,-1000.0,524.284538,Parent-H2O-H2O (+3),-0.00181498
3731,6558,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
16984,6559,622.296933,internal 3:9 (+1) / b7-H2O-NH3 (+1) (C13),-0.00258267,653.875096,No Match,-1000.0
1295,6560,202.121175,internal 10:11-CO-CO (+1),-0.00255717,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18542,6561,653.875096,No Match,-1000.0,625.839478,No Match,-1000.0
1324,6562,202.121175,internal 10:11-CO-CO (+1),-0.00255717,653.875096,No Match,-1000.0
3586,6563,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673,653.875096,No Match,-1000.0
13459,6564,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,524.284538,Parent-H2O-H2O (+3),-0.00181498
3557,6565,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18543,6566,653.875096,No Match,-1000.0,629.40075,y5 (+1),-0.00266287
18544,6567,653.875096,No Match,-1000.0,630.403825,y5 (+1) (C13),-0.00238304
3412,6568,371.193813,internal 3:6 (+1),-0.00130197,653.875096,No Match,-1000.0
8603,6569,500.273383,b5-CO (+1),-0.00189337,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
3383,6570,371.193813,internal 3:6 (+1),-0.00130197,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
17680,6571,645.354248,y12-H2O (+2),-0.00257975,653.875096,No Match,-1000.0
10024,6572,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,653.875096,No Match,-1000.0
17854,6573,645.850301,y12-H2O (+2) (C13),0.00304467,653.875096,No Match,-1000.0
18493,6574,653.875096,No Match,-1000.0,500.273383,b5-CO (+1),-0.00189337
18462,6575,653.875096,No Match,-1000.0,316.114992,internal 2:4 (+1),-0.00106564
18547,6576,653.875096,No Match,-1000.0,646.348316,y12-NH3 (+2) (C13),-0.00296254
3209,6577,316.114992,internal 2:4 (+1),-0.00106564,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18202,6578,646.372715,No Match,-1000.0,653.875096,No Match,-1000.0
13560,6579,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707
13561,6580,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,951.541865,y8 (+1),-0.00482478
28613,6581,952.544553,y8 (+1) (C13),-0.00415795,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
13563,6582,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116
13564,6583,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,1008.563901,y9 (+1),-0.00539706
13565,6584,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,1009.566717,y9 (+1) (C13),-0.00485823
13566,6585,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,1079.601791,y10 (+1),-0.00617328
29483,6586,1080.604578,y10 (+1) (C13),-0.00560545,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
13463,6587,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392
13568,6588,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,1091.55473,internal 3:13 (+1),-0.00673118
13569,6589,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
13559,6590,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,815.484834,y7 (+1) (C13),-0.00335081
13570,6591,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,1204.639002,internal 3:14 (+1),-0.0069392
13571,6592,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,1205.641873,internal 3:14 (+1) (C13),-0.00645537
6022,6593,460.254049,No Match,-1000.0,653.875096,No Match,-1000.0
18522,6594,653.875096,No Match,-1000.0,536.291421,Parent (+3) / internal 5:10-CO (+1),-0.00165486
7907,6595,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18446,6596,653.875096,No Match,-1000.0,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384
5993,6597,460.254049,No Match,-1000.0,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
27917,6598,814.482029,y7 (+1),-0.00390064,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
9473,6599,504.784561,y9 (+2),-0.0016708,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
7936,6600,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,653.875096,No Match,-1000.0
27743,6601,759.893576,No Match,-1000.0,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18523,6602,653.875096,No Match,-1000.0,536.625725,Parent (+3) (C13),-0.00150724
13454,6603,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,505.787346,No Match,-1000.0
13556,6604,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,759.391959,No Match,-1000.0
18477,6605,653.875096,No Match,-1000.0,429.1995,internal 2:5 (+1),-0.00150966
13431,6606,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,429.1995,internal 2:5 (+1),-0.00150966
599,6607,187.072039,internal 3:4 (+1),-0.00070573,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18524,6608,653.875096,No Match,-1000.0,536.959897,No Match,-1000.0
11242,6609,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775,653.875096,No Match,-1000.0
5674,6610,428.215597,internal 3:7 (+1),-0.00162225,653.875096,No Match,-1000.0
18525,6611,653.875096,No Match,-1000.0,537.279979,internal 3:8-CO (+1),-0.00200701
13430,6612,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,428.215597,internal 3:7 (+1),-0.00162225
18447,6613,653.875096,No Match,-1000.0,187.072039,internal 3:4 (+1),-0.00070573
11213,6614,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18475,6615,653.875096,No Match,-1000.0,425.707564,b9 (+2),-0.0012471
14374,6616,540.30326,y10 (+2),-0.00181291,653.875096,No Match,-1000.0
5471,6617,425.707564,b9 (+2),-0.0012471,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
8081,6618,495.779102,y9-H2O (+2),-0.00149414,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
9850,6619,505.787346,No Match,-1000.0,653.875096,No Match,-1000.0
14548,6620,540.804661,y10 (+2) (C13),-0.00153649,653.875096,No Match,-1000.0
5326,6621,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219,653.875096,No Match,-1000.0
13402,6622,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795
13428,6623,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219
18528,6624,653.875096,No Match,-1000.0,541.306032,No Match,-1000.0
27395,6625,758.462697,y6 (+1) (C13),-0.00267753,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951
18490,6626,653.875096,No Match,-1000.0,495.779102,y9-H2O (+2),-0.00149414
18473,6627,653.875096,No Match,-1000.0,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
13427,6628,536.242818,b11-H2O-H2O (+2) / internal 2:12-H2O-H2O (+2),0.00351951,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
18529,6629,653.875096,No Match,-1000.0,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658
18507,6630,653.875096,No Match,-1000.0,524.951635,No Match,-1000.0
12888,6631,535.850077,No Match,-1000.0,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117
10733,6632,524.284538,Parent-H2O-H2O (+3),-0.00181498,668.361566,No Match,-1000.0
27376,6633,758.462697,y6 (+1) (C13),-0.00267753,517.276486,No Match,-1000.0
17732,6634,645.354248,y12-H2O (+2),-0.00257975,759.391959,No Match,-1000.0
26347,6635,750.356517,internal 3:10 (+1),-0.00358916,532.294456,y10-NH3 (+2) (C13),-0.00460604
58,6636,156.102426,No Match,-1000.0,517.276486,No Match,-1000.0
7934,6637,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,646.372715,No Match,-1000.0
3843,6638,397.19662,b8 (+2),-0.00103496,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933
12023,6639,531.286332,No Match,-1000.0,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
2689,6640,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933,536.625725,Parent (+3) (C13),-0.00150724
30178,6641,1205.641873,internal 3:14 (+1) (C13),-0.00645537,536.182618,No Match,-1000.0
5592,6642,428.215597,internal 3:7 (+1),-0.00162225,399.225909,y7-NH3 (+2),0.00351886
17769,6643,645.850301,y12-H2O (+2) (C13),0.00304467,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342
29420,6644,1080.604578,y10 (+1) (C13),-0.00560545,288.204002,y2 (+1),-0.00098585
27953,6645,814.482029,y7 (+1),-0.00390064,661.357419,No Match,-1000.0
26111,6646,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757,230.122528,b2 (+1) (C13) / internal 4:5 (+1) (C13) / internal 11:12 (+1) (C13),-0.0008897
19029,6647,655.362039,No Match,-1000.0,524.951635,No Match,-1000.0
28188,6648,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707,156.102426,No Match,-1000.0
9599,6649,505.285893,y9 (+2) (C13),-0.00132538,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
22127,6650,682.371222,No Match,-1000.0,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
6918,6651,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,689.877751,y13 (+2),-0.00224352
25015,6652,732.407144,internal 8:14-CO-NH3 (+1),-0.0032432,690.379342,y13 (+2) (C13),-0.0021571
25514,6653,745.895269,y14-H2O (+2) (C13),-0.0020699,659.353388,No Match,-1000.0
10023,6654,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,646.851595,No Match,-1000.0
24434,6655,725.878589,No Match,-1000.0,535.850077,No Match,-1000.0
8434,6656,500.237156,internal 2:6 (+1),-0.00205188,540.30326,y10 (+2),-0.00181291
452,6657,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,646.372715,No Match,-1000.0
26959,6658,754.901072,y14 (+2) (C13),-0.00259056,951.541865,y8 (+1),-0.00482478
19139,6659,655.362039,No Match,-1000.0,1205.641873,internal 3:14 (+1) (C13),-0.00645537
19572,6660,660.881708,No Match,-1000.0,541.306032,No Match,-1000.0
22507,6661,683.374046,No Match,-1000.0,524.284538,Parent-H2O-H2O (+3),-0.00181498
16929,6662,622.296933,internal 3:9 (+1) / b7-H2O-NH3 (+1) (C13),-0.00258267,501.360683,y4 (+1) (C13),-0.00183413
7685,6663,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
29378,6664,1079.601791,y10 (+1),-0.00617328,745.895269,y14-H2O (+2) (C13),-0.0020699
28444,6665,951.541865,y8 (+1),-0.00482478,540.30326,y10 (+2),-0.00181291
18349,6666,646.851595,No Match,-1000.0,536.625725,Parent (+3) (C13),-0.00150724
2138,6667,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117,500.357482,y4 (+1),-0.00198796
12216,6668,531.297907,y10-H2O (+2),-0.00174225,475.739504,b10-CO (+2) / internal 3:12-CO (+2),-0.00135566
592,6669,187.072039,internal 3:4 (+1),-0.00070573,531.297907,y10-H2O (+2),-0.00174225
23996,6670,717.904469,No Match,-1000.0,759.391959,No Match,-1000.0
13089,6671,535.955778,No Match,-1000.0,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557
24769,6672,731.912667,No Match,-1000.0,524.284538,Parent-H2O-H2O (+3),-0.00181498
8507,6673,500.237156,internal 2:6 (+1),-0.00205188,755.402417,No Match,-1000.0
5071,6674,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428
23281,6675,690.379342,y13 (+2) (C13),-0.0021571,722.392114,No Match,-1000.0
510,6676,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707
11325,6677,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933
9449,6678,504.784561,y9 (+2),-0.0016708,503.602581,No Match,-1000.0
7613,6679,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727,689.374307,No Match,-1000.0
5624,6680,428.215597,internal 3:7 (+1),-0.00162225,505.787346,No Match,-1000.0
11399,6681,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,587.840184,y11-H2O (+2),-0.00198726
7983,6682,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,754.399472,y14 (+2),-0.00266797
8256,6683,497.264778,internal 4:13-CO (+2) (C13),-0.00147714,536.291421,Parent (+3) / internal 5:10-CO (+1),-0.00165486
20523,6684,667.861197,y13-CO-NH3 (+2) (C13),0.00525604,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116
15632,6685,587.840184,y11-H2O (+2),-0.00198726,745.895269,y14-H2O (+2) (C13),-0.0020699
711,6686,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933
18746,6687,654.359227,y12 (+2),-0.00227641,682.872369,No Match,-1000.0
11501,6688,530.2879,Parent-H2O (+3),-0.00165542,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
10054,6689,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,694.319024,internal 2:8 (+1),-0.0035443
5601,6690,428.215597,internal 3:7 (+1),-0.00162225,429.1995,internal 2:5 (+1),-0.00150966
842,6691,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795,745.895269,y14-H2O (+2) (C13),-0.0020699
5704,6692,428.215597,internal 3:7 (+1),-0.00162225,694.319024,internal 2:8 (+1),-0.0035443
12469,6693,531.621297,No Match,-1000.0,666.887703,No Match,-1000.0
26243,6694,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757,732.407144,internal 8:14-CO-NH3 (+1),-0.0032432
18851,6695,654.860832,y12 (+2) (C13),-0.00220399,521.297717,No Match,-1000.0
4069,6696,398.232448,No Match,-1000.0,530.621016,Parent-H2O (+3) (C13),-0.00031981
29494,6697,1080.604578,y10 (+1) (C13),-0.00560545,566.278227,internal 3:8 (+1) (C13),-0.00198556
21459,6698,675.869221,No Match,-1000.0,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044
17539,6699,630.403825,y5 (+1) (C13),-0.00238304,722.392114,No Match,-1000.0
10425,6700,521.297717,No Match,-1000.0,759.893576,No Match,-1000.0
29778,6701,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007,399.225909,y7-NH3 (+2),0.00351886
18438,6702,646.851595,No Match,-1000.0,1079.601791,y10 (+1),-0.00617328
24720,6703,731.912667,No Match,-1000.0,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117
20327,6704,667.389809,No Match,-1000.0,732.407144,internal 8:14-CO-NH3 (+1),-0.0032432
3847,6705,397.19662,b8 (+2),-0.00103496,371.193813,internal 3:6 (+1),-0.00130197
6946,6706,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,814.482029,y7 (+1),-0.00390064
28987,6707,1008.563901,y9 (+1),-0.00539706,646.348316,y12-NH3 (+2) (C13),-0.00296254
16850,6708,610.345456,No Match,-1000.0,745.895269,y14-H2O (+2) (C13),-0.0020699
3591,6709,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673,660.387149,No Match,-1000.0
25429,6710,745.895269,y14-H2O (+2) (C13),-0.0020699,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428
6874,6711,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,566.278227,internal 3:8 (+1) (C13),-0.00198556
19868,6712,661.858094,No Match,-1000.0,428.215597,internal 3:7 (+1),-0.00162225
15269,6713,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,689.374307,No Match,-1000.0
5789,6714,429.1995,internal 2:5 (+1),-0.00150966,497.264778,internal 4:13-CO (+2) (C13),-0.00147714
18693,6715,654.359227,y12 (+2),-0.00227641,535.955778,No Match,-1000.0
28832,6716,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116,675.365928,y13-HCOH (+2) (C13),0.0059744
2679,6717,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933,531.286332,No Match,-1000.0
19088,6718,655.362039,No Match,-1000.0,675.365928,y13-HCOH (+2) (C13),0.0059744
28762,6719,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116,503.268414,No Match,-1000.0
14436,6720,540.30326,y10 (+2),-0.00181291,1079.601791,y10 (+1),-0.00617328
22598,6721,683.374046,No Match,-1000.0,753.896121,No Match,-1000.0
20554,6722,667.887312,No Match,-1000.0,397.19662,b8 (+2),-0.00103496
21469,6723,675.869221,No Match,-1000.0,530.621016,Parent-H2O (+3) (C13),-0.00031981
21639,6724,680.872829,y13-H2O (+2),-0.00260386,524.951635,No Match,-1000.0
2312,6725,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937,500.357482,y4 (+1),-0.00198796
26992,6726,755.402417,No Match,-1000.0,397.19662,b8 (+2),-0.00103496
19760,6727,661.357419,No Match,-1000.0,625.839478,No Match,-1000.0
26034,6728,746.892819,No Match,-1000.0,654.860832,y12 (+2) (C13),-0.00220399
20309,6729,667.389809,No Match,-1000.0,681.370686,y13-H2O (+2) (C13),0.00121656
25903,6730,746.395337,internal 5:12-H2O-CO (+1) / internal 5:12-HCOOH (+1) / internal 6:13-H2O-CO (+1) / internal 6:13-HCOOH (+1),-0.00093827,750.356517,internal 3:10 (+1),-0.00358916
12279,6731,531.297907,y10-H2O (+2),-0.00174225,629.40075,y5 (+1),-0.00266287
8878,6732,501.360683,y4 (+1) (C13),-0.00183413,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795
6108,6733,460.588166,No Match,-1000.0,316.114992,internal 2:4 (+1),-0.00106564
8364,6734,500.237156,internal 2:6 (+1),-0.00205188,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117
20641,6735,667.887312,No Match,-1000.0,655.362039,No Match,-1000.0
2490,6736,288.204002,y2 (+1),-0.00098585,504.784561,y9 (+2),-0.0016708
13917,6737,536.625725,Parent (+3) (C13),-0.00150724,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
